
Page                      MissingUrl                       ExpectedPath
----                      ----------                       ------------
assets\js\ui-kit.html     ../assets/css/style.css          assets\js\..\assets\css\style...
assets\js\ui-kit.html     ../assets/js/app.js              assets\js\..\assets\js\app.js
en\404.html               /assets/img/apple-touch-icon.png assets\img\apple-touch-icon.png
en\about.html             /assets/img/apple-touch-icon.png assets\img\apple-touch-icon.png
en\contact.html           /assets/img/apple-touch-icon.png assets\img\apple-touch-icon.png
en\face-sothys.html       /assets/img/apple-touch-icon.png assets\img\apple-touch-icon.png
en\gallery.html           /assets/img/apple-touch-icon.png assets\img\apple-touch-icon.png
en\hamam.html             /assets/img/apple-touch-icon.png assets\img\apple-touch-icon.png
en\kids-family.html       /assets/img/apple-touch-icon.png assets\img\apple-touch-icon.png
en\masajlar.html          /assets/img/apple-touch-icon.png assets\img\apple-touch-icon.png
en\massages.html          /assets/img/apple-touch-icon.png assets\img\apple-touch-icon.png
en\offline.html           /assets/img/apple-touch-icon.png assets\img\apple-touch-icon.png
en\products.html          /assets/img/apple-touch-icon.png assets\img\apple-touch-icon.png
en\signature-couples.html /assets/img/apple-touch-icon.png assets\img\apple-touch-icon.png
en\team.html              /assets/img/apple-touch-icon.png assets\img\apple-touch-icon.png
tr\about.html             /assets/img/apple-touch-icon.png assets\img\apple-touch-icon.png
tr\contact.html           /assets/img/apple-touch-icon.png assets\img\apple-touch-icon.png
tr\hamam.html             /assets/img/apple-touch-icon.png assets\img\apple-touch-icon.png
tr\masajlar.html          /assets/img/apple-touch-icon.png assets\img\apple-touch-icon.png
tr\offline.html           /assets/img/apple-touch-icon.png assets\img\apple-touch-icon.png
tr\privacy.html           /assets/img/apple-touch-icon.png assets\img\apple-touch-icon.png
tr\team.html              /assets/img/apple-touch-icon.png assets\img\apple-touch-icon.png
tr\terms.html             /assets/img/apple-touch-icon.png assets\img\apple-touch-icon.png
en\packages.html          /assets/img/cards/cilt/01.jpg    assets\img\cards\cilt\01.jpg
en\packages.html          /assets/img/cards/cilt/02.jpg    assets\img\cards\cilt\02.jpg
en\packages.html          /assets/img/cards/cilt/03.jpg    assets\img\cards\cilt\03.jpg
en\packages.html          /assets/img/cards/hamam/01.jpg   assets\img\cards\hamam\01.jpg
en\packages.html          /assets/img/cards/hamam/02.jpg   assets\img\cards\hamam\02.jpg
en\packages.html          /assets/img/cards/hamam/03.jpg   assets\img\cards\hamam\03.jpg
en\packages.html          /assets/img/cards/kids/01.jpg    assets\img\cards\kids\01.jpg
en\packages.html          /assets/img/cards/kids/02.jpg    assets\img\cards\kids\02.jpg
en\packages.html          /assets/img/cards/kids/03.jpg    assets\img\cards\kids\03.jpg
en\packages.html          /assets/img/cards/masaj/01.jpg   assets\img\cards\masaj\01.jpg
en\packages.html          /assets/img/cards/masaj/02.jpg   assets\img\cards\masaj\02.jpg
en\packages.html          /assets/img/cards/masaj/03.jpg   assets\img\cards\masaj\03.jpg
en\404.html               /assets/img/favicon-16x16.png    assets\img\favicon-16x16.png
en\about.html             /assets/img/favicon-16x16.png    assets\img\favicon-16x16.png
en\contact.html           /assets/img/favicon-16x16.png    assets\img\favicon-16x16.png
en\face-sothys.html       /assets/img/favicon-16x16.png    assets\img\favicon-16x16.png
en\gallery.html           /assets/img/favicon-16x16.png    assets\img\favicon-16x16.png
en\hamam.html             /assets/img/favicon-16x16.png    assets\img\favicon-16x16.png
en\kids-family.html       /assets/img/favicon-16x16.png    assets\img\favicon-16x16.png
en\masajlar.html          /assets/img/favicon-16x16.png    assets\img\favicon-16x16.png
en\massages.html          /assets/img/favicon-16x16.png    assets\img\favicon-16x16.png
en\offline.html           /assets/img/favicon-16x16.png    assets\img\favicon-16x16.png
en\products.html          /assets/img/favicon-16x16.png    assets\img\favicon-16x16.png
en\signature-couples.html /assets/img/favicon-16x16.png    assets\img\favicon-16x16.png
en\team.html              /assets/img/favicon-16x16.png    assets\img\favicon-16x16.png
tr\about.html             /assets/img/favicon-16x16.png    assets\img\favicon-16x16.png
tr\contact.html           /assets/img/favicon-16x16.png    assets\img\favicon-16x16.png
tr\hamam.html             /assets/img/favicon-16x16.png    assets\img\favicon-16x16.png
tr\masajlar.html          /assets/img/favicon-16x16.png    assets\img\favicon-16x16.png
tr\offline.html           /assets/img/favicon-16x16.png    assets\img\favicon-16x16.png
tr\privacy.html           /assets/img/favicon-16x16.png    assets\img\favicon-16x16.png
tr\team.html              /assets/img/favicon-16x16.png    assets\img\favicon-16x16.png
tr\terms.html             /assets/img/favicon-16x16.png    assets\img\favicon-16x16.png
en\404.html               /assets/img/favicon-32x32.png    assets\img\favicon-32x32.png
en\about.html             /assets/img/favicon-32x32.png    assets\img\favicon-32x32.png
en\contact.html           /assets/img/favicon-32x32.png    assets\img\favicon-32x32.png
en\face-sothys.html       /assets/img/favicon-32x32.png    assets\img\favicon-32x32.png
en\gallery.html           /assets/img/favicon-32x32.png    assets\img\favicon-32x32.png
en\hamam.html             /assets/img/favicon-32x32.png    assets\img\favicon-32x32.png
en\kids-family.html       /assets/img/favicon-32x32.png    assets\img\favicon-32x32.png
en\masajlar.html          /assets/img/favicon-32x32.png    assets\img\favicon-32x32.png
en\massages.html          /assets/img/favicon-32x32.png    assets\img\favicon-32x32.png
